"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"feed vs intestine",1,33020.2297870596,17.9967588534259,0.141710379193196,0.001,0.003,"*"
"feed vs water",1,69591.9082262515,11.7598269202012,0.348337891304898,0.001,0.003,"*"
"intestine vs water",1,114325.510986859,46.3255704171354,0.276858882367158,0.001,0.003,"*"
