	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
phyloseq::sample_data(ps.prev.tree)$Sample_Regime	13	251549.556764997	19349.9659049998	10.4365763091866	0.541239556074798	0.001
Residuals	115	213216.098186937	1854.05302771249	NA	0.458760443925202	NA
Total	128	464765.654951934	NA	NA	1	NA
